City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
47,rumoi,43.9344,141.6428,-2.39,67,93,3.04,JP,1675222074
48,matadi,-5.8167,13.45,24.88,97,100,1.19,CD,1675221520
49,pevek,69.7008,170.3133,-15.44,86,8,1.34,RU,1675222075
50,neiafu,-18.65,-173.9833,29.38,79,75,4.12,TO,1675222075
51,esmeraldas,-19.7625,-44.3139,21.48,90,44,1.74,BR,1675222076
52,hofn,64.2539,-15.2082,-2.46,65,95,5.97,IS,1675222076
53,yellowknife,62.456,-114.3525,-31.71,68,0,5.66,CA,1675222076
54,tual,-5.6667,132.75,28.39,75,81,5.1,ID,1675221509
55,san luis,-33.295,-66.3356,26.03,51,54,2.92,AR,1675222077
56,hermiston,45.8404,-119.2895,2.59,67,40,4.12,US,1675221753
57,clyde river,70.4692,-68.5914,-30.87,69,0,2.57,CA,1675222077
58,pafos,34.7667,32.4167,11.88,62,20,2.06,CY,1675222077
59,iquique,-20.2208,-70.1431,23.02,84,100,1.54,CL,1675221838
60,leningradskiy,69.3833,178.4167,-14.48,96,100,4.26,RU,1675222078
61,atambua,-9.1061,124.8925,28.03,71,51,2.61,ID,1675221503
62,hojai,26.0,92.8667,21.64,47,52,0.56,IN,1675222079
63,guerrero negro,27.9769,-114.0611,13.69,58,10,3.62,MX,1675222079
